ts,src,dst,sport,dport,len,flags,window,seq,ack,flow
1769651431.668614,140.82.113.25,172.172.30.192,443,64249,70,A,81,3379304669,876977279,140.82.113.25:443 -> 172.172.30.192:64249
1769651432.840031,172.172.30.192,157.240.211.55,63297,443,123,PA,512,1561604928,2289266993,172.172.30.192:63297 -> 157.240.211.55:443
1769651432.870967,157.240.211.55,172.172.30.192,443,63297,64,A,311,2289266993,1561604997,157.240.211.55:443 -> 172.172.30.192:63297
1769651433.028358,157.240.211.55,172.172.30.192,443,63297,129,PA,311,2289266993,1561604997,157.240.211.55:443 -> 172.172.30.192:63297
1769651433.06946,172.172.30.192,157.240.211.55,63297,443,54,A,512,1561604997,2289267064,172.172.30.192:63297 -> 157.240.211.55:443
1769651433.997484,172.172.30.192,20.42.73.25,64694,443,66,S,64240,2611933144,0,172.172.30.192:64694 -> 20.42.73.25:443
1769651434.10519,172.172.30.192,35.228.14.46,64168,443,55,A,510,731893355,1588259270,172.172.30.192:64168 -> 35.228.14.46:443
1769651434.255703,20.42.73.25,172.172.30.192,443,64694,70,SA,65535,356965234,2611933145,20.42.73.25:443 -> 172.172.30.192:64694
1769651434.255877,172.172.30.192,20.42.73.25,64694,443,54,A,517,2611933145,356965235,172.172.30.192:64694 -> 20.42.73.25:443
1769651434.25683,172.172.30.192,20.42.73.25,64694,443,1796,PA,517,2611933145,356965235,172.172.30.192:64694 -> 20.42.73.25:443
1769651434.259766,172.172.30.192,142.251.23.94,64673,443,55,A,509,1133122640,1135105245,172.172.30.192:64673 -> 142.251.23.94:443
1769651434.333639,142.251.23.94,172.172.30.192,443,64673,70,A,1047,1135105245,1133122641,142.251.23.94:443 -> 172.172.30.192:64673
1769651434.395961,35.228.14.46,172.172.30.192,443,64168,70,A,511,1588259270,731893356,35.228.14.46:443 -> 172.172.30.192:64168
1769651434.508499,20.42.73.25,172.172.30.192,443,64694,64,A,16386,356965235,2611934887,20.42.73.25:443 -> 172.172.30.192:64694
1769651434.508499,20.42.73.25,172.172.30.192,443,64694,157,PA,16386,356965235,2611934887,20.42.73.25:443 -> 172.172.30.192:64694
1769651434.511122,172.172.30.192,20.42.73.25,64694,443,642,PA,517,2611934887,356965334,172.172.30.192:64694 -> 20.42.73.25:443
1769651434.576811,20.42.73.25,172.172.30.192,443,64690,594,A,16383,598932352,2645353843,20.42.73.25:443 -> 172.172.30.192:64690
1769651434.576941,172.172.30.192,20.42.73.25,64690,443,74,A,515,2645353843,598932888,172.172.30.192:64690 -> 20.42.73.25:443
1769651434.765334,20.42.73.25,172.172.30.192,443,64694,617,PA,16383,356971142,2611935475,20.42.73.25:443 -> 172.172.30.192:64694
1769651434.765539,172.172.30.192,20.42.73.25,64694,443,66,A,517,2611935475,356965334,172.172.30.192:64694 -> 20.42.73.25:443
1769651434.825971,20.42.73.25,172.172.30.192,443,64690,594,A,16383,598932888,2645353843,20.42.73.25:443 -> 172.172.30.192:64690
1769651434.825971,20.42.73.25,172.172.30.192,443,64690,594,A,16383,598933424,2645353843,20.42.73.25:443 -> 172.172.30.192:64690
